keyword,received_response,search_nil_item,translation
病毒+美國總統+特朗普+中方,TRUE,,Virus + U.S. President + Trump + China
党籍+共和+美国总统+特朗普,TRUE,,Party membership + Republican + U.S. President + Trump
反修例示威+一國兩制+自毀長城+時事評論員,TRUE,federation_empty,"Anti-revision demonstration + one country, two systems + self-destructing the Great Wall + current affairs commentator"
质疑+湖北人+大帝,TRUE,,Questioning + Hubei people + Great Emperor
撑不住+主席+香港,TRUE,,Unable to hold + Chairman + Hong Kong
病毒+政府+特朗普+提供帮助,TRUE,,Virus + government + Trump + help
法律+立法會+中央+駱惠寧,TRUE,federation_empty,Law + Legislative Council + Central Government + Luo Huining
数据显示+策略+超过+俄罗斯,TRUE,,Data display + strategy + over + Russia
军演+中美两国+环太平洋+发展,TRUE,,Military exercises + China and the United States + Pacific Rim + development
习近平+心腹,TRUE,federation_empty,Xi Jinping + confidant
教廷外交部+中梵口罩外交+未建交,TRUE,,Holy See Ministry of Foreign Affairs + China-Vatican mask diplomacy + no diplomatic relations
口罩外交+促成教宗+毫無所悉+中梵開展,TRUE,,Mask Diplomacy + Facilitating the Pope + Nothing Known + China-Vatican Development
美國總統+政府+特朗普+病毒,TRUE,,US President + Government + Trump + Virus
合作+分享+奥巴马+中美关系,TRUE,,Cooperation + Sharing + Obama + Sino-US Relations
习近平+干部+总书记+维稳,TRUE,federation_empty,Xi Jinping + Cadres + General Secretary + Stability Maintenance
警方+物资配送+检察院+批准逮捕,TRUE,hit_dirt_words,Police + material distribution + procuratorate + approve arrest
受到影响+生产+出口+没有出现,TRUE,,Affected + production + export + no appearance
威胁+世界+图片报,TRUE,,Threat+World+Picture
中国+为此承担后果+负有故意的责任,TRUE,,China + bear the consequences for this + deliberately responsible
肺炎+中央+防疫+病毒+台灣,TRUE,hit_dirt_words,Pneumonia + central government + epidemic prevention + virus + Taiwan
民进党+更名+党团+台独,TRUE,,DPP + name change + party caucus + Taiwan independence
确诊病例+援引+有关+病毒,TRUE,,Confirmed case + citation + related + virus
川普+确诊病例+政府+病毒,TRUE,,Trump + confirmed cases + government + virus
无症状+确诊病例+公交车+病毒,TRUE,,Asymptomatic + confirmed case + bus + virus
隐瞒疫情+轮番起诉中国+索赔议案,TRUE,,Concealing the epidemic + taking turns to prosecute China + claim proposal
隐瞒疫情+指责中国+特朗普+病毒,TRUE,,Concealing the epidemic + accusing China + Trump + virus
中国的歹毒计划+掠夺中国,TRUE,,China's malicious plan + plunder China
法案+官员+李 文 亮+提出,TRUE,,Bill + official + Li Wenliang + proposed
生产+严重影响+出口+研究,TRUE,,Production + severe impact + export + research
无症状+确诊病例+中共+综合,TRUE,hit_dirt_words,Asymptomatic + confirmed case + CCP + comprehensive
中共+病毒+生命+北京,TRUE,hit_dirt_words,CCP + Virus + Life + Beijing
谋杀+碎了,TRUE,hit_dirt_words,Murdered + broken
一个反共和反华的人,TRUE,hit_dirt_words,An anti-republican and anti-Chinese man
造谣者+训诫+方方+有期徒刑,TRUE,,Rumorger + admonition + Fang Fang + fixed-term imprisonment
我的思考与不安+崔永元,TRUE,hit_dirt_words,My thoughts and anxiety + Cui Yongyuan
文中说+热衷于+英国首相+病重,TRUE,,The article says + keen on + British prime minister + seriously ill
受到+中共+死亡+病毒,TRUE,hit_dirt_words,Received + CCP + Death + Virus
日本+中共+确诊+病毒,TRUE,hit_dirt_words,Japan + CCP + Confirmed + Virus
习近平+新高地,TRUE,federation_empty,Xi Jinping + New Heights
首都+来源于+病毒+北京,TRUE,,Capital + Origin + Virus + Beijing
高达+林郑月娥+积存多年+保就业,TRUE,federation_empty,Gundam + Carrie Lam + Accumulated for many years + Guaranteed employment
主席+基本法+中联办+立法会,TRUE,federation_empty,Chairman + Basic Law + Liaison Office + Legislative Council
大政方针+两面人+孙力军+不知敬畏,TRUE,,Big policy + two-faced person + Sun Lijun + ignorance
公安部+决不允许+守纪律+孙力军,TRUE,,Ministry of Public Security + Never allowed + Discipline + Sun Lijun
公安部+孙力军+涉嫌严重违纪违法+周永康,TRUE,federation_empty,Ministry of Public Security + Sun Lijun + Suspected of serious violations of discipline and law + Zhou Yongkang
习书记+清理,TRUE,federation_empty,Secretary Xi + Cleanup
预计+中共+预期+综合,TRUE,hit_dirt_words,Expected + CCP + Expected + Comprehensive
开会+秦皇岛+常委,TRUE,hit_dirt_words,Meeting + Qinhuangdao + Standing Committee
警方+檢察院+物資配送+批准逮捕,TRUE,hit_dirt_words,Police + Procuratorate + Material Delivery + Approval of Arrest
當局+疾病控制+大陸+病毒,TRUE,,Authorities + disease control + mainland + virus
病毒+不到位+中央+政策,TRUE,,Virus + not in place + central government + policy
有利于+确诊病例+病毒+生命,TRUE,,Good for + confirmed case + virus + life
习近平+中共+进一步+病毒,TRUE,federation_empty,Xi Jinping + CCP + Further + Virus
