kw_id,keyword,translation,detected_on,url,test_regime,retest_count,is_curr_blocked,is_group_chat
5445,病毒+美國總統+特朗普+中方,Virus + US President + Trump + China,2020-04-21 9:17:46,https://news.rthk.hk/rthk/ch/component/k2/1521736-20200421.htm?spTabChangeable=0,allmerged,0,1,1
5444,党籍+共和+美国总统+特朗普,Party membership + Republican + US President + Trump,2020-04-21 8:53:20,http://world.people.com.cn/n1/2020/0420/c1002-31680041.html,allmerged,0,1,1
5443,反修例示威+一國兩制+自毀長城+時事評論員,"Anti-revision example demonstration + one country, two systems + self-destructing Great Wall + current affairs commentator",2020-04-21 8:27:22,https://hk.on.cc/hk/bkn/cnt/news/20200420/bkn-20200420191620077-0420_00822_001.html?refer=hn1,allmerged,0,1,1
5442,质疑+湖北人+大帝,Question + Hubei + Emperor,2020-04-21 8:02:31,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_c225404568b3_2020-04-19_2247501833_EfKRuMNVjw.y.tar.gz,allmerged,0,1,0
5441,质疑+湖北人+大帝,Question + Hubei + Emperor,2020-04-21 8:01:29,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_c225404568b3_2020-04-19_2247501833_EfKRuMNVjw.y.tar.gz,allmerged,0,1,1
5440,撑不住+主席+香港,Unsustainable + Chairman + Hong Kong,2020-04-21 7:33:54,http://www.chinanews.com/ga/2020/04-20/9162524.shtml,allmerged,0,1,1
5439,病毒+政府+特朗普+提供帮助,Virus + government + Trump + help,2020-04-21 6:49:32,https://www.sohu.com/a/389548842_115479?spm=smpc.news-home.top-news4.4.1587413235850Gv0jf9i,allmerged,0,1,1
5438,法律+立法會+中央+駱惠寧,Law + Legislative Council + Central + Luo Huining,2020-04-21 6:24:01,https://www.thenewslens.com/article/134025,allmerged,0,1,1
5437,数据显示+策略+超过+俄罗斯,Data show + strategy + exceed + Russia,2020-04-21 5:58:38,https://www.sohu.com/a/389663632_313745?spm=smpc.news-home.top-news4.2.1587413235850Gv0jf9i,allmerged,0,1,1
5436,军演+中美两国+环太平洋+发展,Military exercises + China and the United States + Pacific Rim + development,2020-04-21 5:26:32,https://www.sohu.com/a/389695444_162522?spm=smpc.news-home.mil-cul-news.3.1587413235850Gv0jf9i,allmerged,0,1,1
5435,习近平+心腹,Xi Jinping + henchman,2020-04-21 4:54:12,http://www.xinhuanet.com/politics/2020-04/21/c_1125882576.htm,allmerged,0,1,0
5434,习近平+心腹,Xi Jinping + henchman,2020-04-21 4:53:11,http://www.xinhuanet.com/politics/2020-04/21/c_1125882576.htm,allmerged,0,1,1
5433,教廷外交部+中梵口罩外交+未建交,Holy See Foreign Ministry + Sino-Vatican Mask Diplomacy + No Diplomatic Relations,2020-04-21 4:31:10,https://std.stheadline.com/instant/../instant/articles/detail/1251355/即時-中國-傳梵蒂岡安排教宗首度訪華-首站選定武漢,allmerged,0,1,1
5432,口罩外交+促成教宗+毫無所悉+中梵開展,Mask Diplomacy + Contribute to the Pope + Don't know anything + China-Vatican,2020-04-21 4:11:15,https://std.stheadline.com/instant/../instant/articles/detail/1251355/即時-中國-傳梵蒂岡安排教宗首度訪華-首站選定武漢,allmerged,1,1,1
5431,美國總統+政府+特朗普+病毒,US President + Government + Trump + Virus,2020-04-21 3:29:30,https://std.stheadline.com/instant/../instant/articles/detail/1251100/即時-中國-全球萬人控告中方隱瞞疫情-未來或會面臨天價賠償,allmerged,0,1,1
5430,合作+分享+奥巴马+中美关系,Cooperation + Sharing + Obama + Sino-US Relations,2020-04-21 2:53:54,http://fangtan.china.com.cn/2020-04/20/content_75954261.htm,allmerged,0,1,1
5429,习近平+干部+总书记+维稳,Xi Jinping + cadre + general secretary + peacekeeping,2020-04-21 2:17:44,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_11e2a89738e5_2020-04-19_2654751754_aFiJ2Kn0mu.y.tar.gz,allmerged,0,1,1
5428,警方+物资配送+检察院+批准逮捕,Police + material distribution + procuratorate + approved arrest,2020-04-21 1:38:26,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_4226ad5d721f_2020-04-19_2651201840_50l4ZeJdRD.y.tar.gz,allmerged,0,1,1
5427,受到影响+生产+出口+没有出现,Affected + production + export + did not appear,2020-04-21 1:11:51,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_9f3d67e7cfc8_2020-04-19_2651126559_1NxYtD4wlm.y.tar.gz,allmerged,0,1,1
5426,威胁+世界+图片报,Threat + World + Picture News,2020-04-21 0:40:40,http://news.china.com.cn/2020-04/20/content_75952419.htm,allmerged,0,1,1
5425,中国+为此承担后果+负有故意的责任,China + bear the consequences + bear deliberate responsibility,2020-04-21 0:22:39,http://news.china.com.cn/2020-04/20/content_75952419.htm,allmerged,1,1,1
5424,肺炎+中央+防疫+病毒+台灣,Pneumonia + Central + Epidemic Prevention + Virus + Taiwan,2020-04-20 23:55:41,https://www.am730.com.hk/news/%E6%96%B0%E8%81%9E/%e5%8f%b0%e8%a8%aa%e5%b8%9b%e7%90%89%e8%bb%8d%e8%89%a624%e7%a2%ba%e8%a8%ba-%e6%81%90%e7%a4%be%e5%8d%80%e6%93%b4%e6%95%a3-215667,allmerged,0,1,1
5423,民进党+更名+党团+台独,DPP + Rename + Party Group + Taiwan Independence,2020-04-20 23:30:14,http://www.chinanews.com/tw/2020/04-20/9161856.shtml,allmerged,0,1,1
5422,确诊病例+援引+有关+病毒,Confirmed cases + citation + related + virus,2020-04-20 22:50:35,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_a4a87df43a4c_2020-04-19_2655196961_LH7qIAjhtb.y.tar.gz,allmerged,0,1,1
5421,川普+确诊病例+政府+病毒,Trump + confirmed cases + government + virus,2020-04-20 22:24:48,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_336ea9863c03_2020-04-19_2651748498_9f2XAC1wRO.y.tar.gz,allmerged,0,1,1
5420,无症状+确诊病例+公交车+病毒,Asymptomatic + confirmed cases + bus + virus,2020-04-20 22:00:26,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_c69aeef5cadc_2020-04-19_2651733740_8b1Nx6O9KP.y.tar.gz,allmerged,0,1,1
5419,隐瞒疫情+轮番起诉中国+索赔议案,Conceal the epidemic situation + take turns prosecuting China + claim motion,2020-04-20 21:21:53,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_fa69c726c16c_2020-04-19_2247492536_eEZG43NjTP.y.tar.gz,allmerged,0,1,1
5418,隐瞒疫情+指责中国+特朗普+病毒,Hide the epidemic + accuse China + Trump + virus,2020-04-20 21:01:36,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_fa69c726c16c_2020-04-19_2247492536_eEZG43NjTP.y.tar.gz,allmerged,1,1,1
5417,中国的歹毒计划+掠夺中国,China's anti-drug plan + looting China,2020-04-20 20:37:13,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_fa69c726c16c_2020-04-19_2247492536_eEZG43NjTP.y.tar.gz,allmerged,1,1,1
5416,法案+官员+李 文 亮+提出,Bill + official + Li Wenliang + proposed,2020-04-20 20:21:25,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_fa69c726c16c_2020-04-19_2247492536_eEZG43NjTP.y.tar.gz,allmerged,1,1,1
5415,生产+严重影响+出口+研究,Production + serious impact + export + research,2020-04-20 19:46:59,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_c1335a131ff4_2020-04-19_2247493965_pSt9PfFGE5.y.tar.gz,allmerged,0,1,1
5414,无症状+确诊病例+中共+综合,Asymptomatic + confirmed cases + CCP + comprehensive,2020-04-20 19:24:50,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_355d7095d51f_2020-04-19_2651580530_51OJjLwyqg.y.tar.gz,allmerged,0,1,1
5413,中共+病毒+生命+北京,CCP + Virus + Life + Beijing,2020-04-20 18:42:27,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_57d7d1141e6e_2020-04-19_2660809195_8Jv0tKVT5M.y.tar.gz,allmerged,0,1,1
5412,谋杀+碎了,Murder + broken,2020-04-20 18:16:09,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_336ea9863c03_2020-04-19_2651748498_VTpribZz9D.y.tar.gz,allmerged,0,1,1
5411,一个反共和反华的人,An anti-communist and anti-China man,2020-04-20 17:56:30,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_736c227c132c_2020-04-19_2650838332_W6cmZEXCrj.y.tar.gz,allmerged,0,1,1
5410,造谣者+训诫+方方+有期徒刑,Rumors + admonition + Fang Fang + fixed-term imprisonment,2020-04-20 17:46:49,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_736c227c132c_2020-04-19_2650838332_W6cmZEXCrj.y.tar.gz,allmerged,1,1,1
5409,我的思考与不安+崔永元,My thinking and uneasiness + Cui Yongyuan,2020-04-20 17:21:43,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_94d9b14108ec_2020-04-19_2247485865_1NJ7yEdIMa.y.tar.gz,allmerged,0,1,1
5408,文中说+热衷于+英国首相+病重,The article says + passionate + British prime minister + seriously ill,2020-04-20 17:06:33,http://wechatscope.jmsc.hku.hk:8000/html_undocumented?fn=gh_94d9b14108ec_2020-04-19_2247485865_1NJ7yEdIMa.y.tar.gz,allmerged,1,1,1
